[09-Dec-2015 15:39:42 UTC] PHP Warning:  Missing argument 1 for get_avatar(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2214
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2259
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2270
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2272
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2318
[09-Dec-2015 15:39:42 UTC] PHP Warning:  Missing argument 1 for get_avatar(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2214
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2259
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2270
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2272
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2318
[09-Dec-2015 15:39:42 UTC] PHP Warning:  Missing argument 1 for get_avatar(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2214
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2259
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2270
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2272
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2318
[09-Dec-2015 15:40:41 UTC] PHP Warning:  Missing argument 1 for get_avatar(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2214
